,codigo_ocorrencia,ocorrencia_classificacao,ocorrencia_tipo,ocorrencia_tipo_categoria,ocorrencia_cidade,coordenadas_cidade,longitude_cidade,latitude_cidade,altitude_cidade,ocorrencia_uf,ocorrencia_estado,regiao,ocorrencia_dia,total_aeronaves_envolvidas,ocorrencia_saida_pista,aeronave_matricula,aeronave_operador_categoria,aeronave_tipo_veiculo,aeronave_fabricante,aeronave_modelo,aeronave_tipo_icao,aeronave_motor_tipo,aeronave_motor_quantidade,aeronave_assentos,aeronave_ano_fabricacao,aeronave_pais_fabricante,aeronave_registro_categoria,aeronave_registro_segmento,aeronave_voo_origem,aeronave_voo_destino,aeronave_fase_operacao,aeronave_tipo_operacao,aeronave_nivel_dano,aeronave_fatalidades_total,ocorrencia_fatalidade
10,43628,ACIDENTE,POUSO SEM TREM,CONTATO ANORMAL COM A PISTA | POUSO SEM TREM,CAIRU,"-39.0432543550852,-13.4876034009212,17.51928",-39.0432543550852,-13.4876034009212,17.51928,BA,Bahia,Localizado na Região Nordeste,2011-01-05,1,NÃO,PTEHG,OPERADOR DESCONHECIDO,AVIÃO,EMBRAER,EMB-820C NAVAJO,PA31,PISTÃO,BIMOTOR,10.0,1976.0,BRASIL,AVIÃO,TÁXI AÉREO,DEPUTADO LUÍS EDUARDO MAGALHÃES,FAZENDA PONTAL,POUSO,TÁXI AÉREO,SUBSTANCIAL,0,NÃO
11,52471,INCIDENTE GRAVE,EXCURSÃO DE PISTA,EXCURSÃO DE PISTA,CAIRU,"-39.0432543550852,-13.4876034009212,17.51928",-39.0432543550852,-13.4876034009212,17.51928,BA,Bahia,Localizado na Região Nordeste,2012-02-15,1,SIM,PTVMQ,OPERADOR DESCONHECIDO,AVIÃO,NEIVA INDUSTRIA AERONAUTICA,EMB-720D,PA32,PISTÃO,MONOMOTOR,7.0,1991.0,BRASIL,AVIÃO,TÁXI AÉREO,DEPUTADO LUÍS EDUARDO MAGALHÃES,LORENZO,POUSO,TÁXI AÉREO,LEVE,0,NÃO
12,52471,INCIDENTE GRAVE,PERDA DE CONTROLE NO SOLO,PERDA DE CONTROLE NO SOLO,CAIRU,"-39.0432543550852,-13.4876034009212,17.51928",-39.0432543550852,-13.4876034009212,17.51928,BA,Bahia,Localizado na Região Nordeste,2012-02-15,1,SIM,PTVMQ,OPERADOR DESCONHECIDO,AVIÃO,NEIVA INDUSTRIA AERONAUTICA,EMB-720D,PA32,PISTÃO,MONOMOTOR,7.0,1991.0,BRASIL,AVIÃO,TÁXI AÉREO,DEPUTADO LUÍS EDUARDO MAGALHÃES,LORENZO,POUSO,TÁXI AÉREO,LEVE,0,NÃO
13,78055,INCIDENTE GRAVE,COM TREM DE POUSO,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE | COM TREM DE POUSO,CAIRU,"-39.0432543550852,-13.4876034009212,17.51928",-39.0432543550852,-13.4876034009212,17.51928,BA,Bahia,Localizado na Região Nordeste,2018-07-22,1,SIM,PTGMA,OPERADOR DESCONHECIDO,AVIÃO,CESSNA AIRCRAFT,310R,C310,PISTÃO,BIMOTOR,6.0,1977.0,BRASIL,AVIÃO,PARTICULAR,CIPÓ,FORA DE AERODROMO,CORRIDA APÓS POUSO,PRIVADA,LEVE,0,NÃO
14,39807,INCIDENTE,ESTOURO DE PNEU,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE | ESTOURO DE PNEU,SALVADOR,"-38.4880614840079,-13.0147719111182,5.87215",-38.4880614840079,-13.0147719111182,5.87215,BA,Bahia,Localizado na Região Nordeste,2010-01-06,1,NÃO,PTBXF,INSTRUÇÃO,AVIÃO,CESSNA AIRCRAFT,150E,C150,PISTÃO,MONOMOTOR,2.0,1965.0,BRASIL,AVIÃO,INSTRUÇÃO,FORA DE AERODROMO,FORA DE AERODROMO,CORRIDA APÓS POUSO,INSTRUÇÃO,LEVE,0,NÃO
15,39810,INCIDENTE,ESTOURO DE PNEU,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE | ESTOURO DE PNEU,SALVADOR,"-38.4880614840079,-13.0147719111182,5.87215",-38.4880614840079,-13.0147719111182,5.87215,BA,Bahia,Localizado na Região Nordeste,2010-01-15,1,NÃO,PTEZN,TÁXI AÉREO,AVIÃO,EMBRAER,EMB-820C NAVAJO,PA31,PISTÃO,BIMOTOR,10.0,1979.0,BRASIL,AVIÃO,TÁXI AÉREO,FORA DE AERODROMO,FORA DE AERODROMO,DECOLAGEM,TÁXI AÉREO,NENHUM,0,NÃO
16,39969,INCIDENTE,FALHA DO MOTOR EM VOO,FALHA OU MAU FUNCIONAMENTO DO MOTOR | FALHA DO MOTOR EM VOO,SALVADOR,"-38.4880614840079,-13.0147719111182,5.87215",-38.4880614840079,-13.0147719111182,5.87215,BA,Bahia,Localizado na Região Nordeste,2010-02-09,1,NÃO,PRGEA,OPERADOR DESCONHECIDO,AVIÃO,BOEING COMPANY,737-7EH,B737,JATO,BIMOTOR,154.0,2009.0,BRASIL,AVIÃO,REGULAR,DEPUTADO LUÍS EDUARDO MAGALHÃES,ANTONIO CARLOS JOBIM / GALEÃO,SUBIDA,REGULAR,NENHUM,0,NÃO
17,40583,INCIDENTE,PERDA DE COMPONENTE NO SOLO,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE | PERDA DE COMPONENTE NO SOLO,SALVADOR,"-38.4880614840079,-13.0147719111182,5.87215",-38.4880614840079,-13.0147719111182,5.87215,BA,Bahia,Localizado na Região Nordeste,2010-04-30,1,NÃO,PPEPS,ADMINISTRAÇÃO DIRETA,AVIÃO,BEECH AIRCRAFT,C90A,BE9L,TURBOÉLICE,BIMOTOR,8.0,1996.0,BRASIL,AVIÃO,ADMINISTRAÇÃO DIRETA,DEPUTADO LUÍS EDUARDO MAGALHÃES,PORTO SEGURO,DECOLAGEM,POLICIAL,LEVE,0,NÃO
18,41840,INCIDENTE,FALHA DO MOTOR EM VOO,FALHA OU MAU FUNCIONAMENTO DO MOTOR | FALHA DO MOTOR EM VOO,SALVADOR,"-38.4880614840079,-13.0147719111182,5.87215",-38.4880614840079,-13.0147719111182,5.87215,BA,Bahia,Localizado na Região Nordeste,2010-06-23,1,NÃO,PTEPY,ESPECIALIZADA,AVIÃO,EMBRAER,EMB-820C NAVAJO,PA31,PISTÃO,BIMOTOR,5.0,1978.0,BRASIL,AVIÃO,ESPECIALIZADA,FORA DE AERODROMO,FORA DE AERODROMO,SUBIDA,ESPECIALIZADA,LEVE,0,NÃO
19,41844,INCIDENTE,OUTROS,OUTROS,SALVADOR,"-38.4880614840079,-13.0147719111182,5.87215",-38.4880614840079,-13.0147719111182,5.87215,BA,Bahia,Localizado na Região Nordeste,2010-07-12,1,NÃO,PTVMQ,TÁXI AÉREO,AVIÃO,NEIVA INDUSTRIA AERONAUTICA,EMB-720D,PA32,PISTÃO,MONOMOTOR,7.0,1991.0,BRASIL,AVIÃO,TÁXI AÉREO,FORA DE AERODROMO,FORA DE AERODROMO,TÁXI,TÁXI AÉREO,LEVE,0,NÃO
20,41854,INCIDENTE,COLISÃO COM AVE,COLISÃO COM AVE,SALVADOR,"-38.4880614840079,-13.0147719111182,5.87215",-38.4880614840079,-13.0147719111182,5.87215,BA,Bahia,Localizado na Região Nordeste,2010-06-17,1,NÃO,PTMXC,REGULAR,AVIÃO,AIRBUS INDUSTRIE,A321-231,A321,JATO,BIMOTOR,232.0,2007.0,BRASIL,AVIÃO,REGULAR,FORA DE AERODROMO,FORA DE AERODROMO,DECOLAGEM,REGULAR,LEVE,0,NÃO
21,41913,INCIDENTE,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE,SALVADOR,"-38.4880614840079,-13.0147719111182,5.87215",-38.4880614840079,-13.0147719111182,5.87215,BA,Bahia,Localizado na Região Nordeste,2010-07-02,1,NÃO,PTEST,TÁXI AÉREO,AVIÃO,EMBRAER,EMB-810C,PA34,PISTÃO,BIMOTOR,6.0,1978.0,BRASIL,AVIÃO,TÁXI AÉREO,FORA DE AERODROMO,FORA DE AERODROMO,SUBIDA,TÁXI AÉREO,NENHUM,0,NÃO
22,41915,INCIDENTE,COLISÃO COM AVE,COLISÃO COM AVE,SALVADOR,"-38.4880614840079,-13.0147719111182,5.87215",-38.4880614840079,-13.0147719111182,5.87215,BA,Bahia,Localizado na Região Nordeste,2010-06-18,1,NÃO,PRAYB,REGULAR,AVIÃO,EMBRAER,ERJ 190-200 IGW,E190,JATO,BIMOTOR,125.0,2008.0,BRASIL,AVIÃO,REGULAR,FORA DE AERODROMO,FORA DE AERODROMO,DECOLAGEM,REGULAR,LEVE,0,NÃO
23,42068,INCIDENTE,COM TREM DE POUSO,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE | COM TREM DE POUSO,SALVADOR,"-38.4880614840079,-13.0147719111182,5.87215",-38.4880614840079,-13.0147719111182,5.87215,BA,Bahia,Localizado na Região Nordeste,2010-07-21,1,NÃO,PTBXF,INSTRUÇÃO,AVIÃO,CESSNA AIRCRAFT,150E,C150,PISTÃO,MONOMOTOR,2.0,1965.0,BRASIL,AVIÃO,INSTRUÇÃO,FORA DE AERODROMO,FORA DE AERODROMO,TÁXI,INSTRUÇÃO,NENHUM,0,NÃO
24,42073,INCIDENTE,OUTROS,OUTROS,SALVADOR,"-38.4880614840079,-13.0147719111182,5.87215",-38.4880614840079,-13.0147719111182,5.87215,BA,Bahia,Localizado na Região Nordeste,2010-07-21,1,NÃO,PROAE,REGULAR,AVIÃO,FOKKER,F28MK0100,F100,JATO,BIMOTOR,107.0,1992.0,BRASIL,AVIÃO,REGULAR,FORA DE AERODROMO,FORA DE AERODROMO,TÁXI,REGULAR,NENHUM,0,NÃO
25,42263,INCIDENTE,ESTOURO DE PNEU,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE | ESTOURO DE PNEU,SALVADOR,"-38.4880614840079,-13.0147719111182,5.87215",-38.4880614840079,-13.0147719111182,5.87215,BA,Bahia,Localizado na Região Nordeste,2010-08-11,1,NÃO,PPPTN,REGULAR,AVIÃO,AEROSPATIALE AND ALENIA,ATR-72-212A,AT72,TURBOÉLICE,BIMOTOR,73.0,2008.0,BRASIL,AVIÃO,REGULAR,FORA DE AERODROMO,FORA DE AERODROMO,POUSO,REGULAR,NENHUM,0,NÃO
26,42460,INCIDENTE,POUSO BRUSCO,CONTATO ANORMAL COM A PISTA | POUSO BRUSCO,SALVADOR,"-38.4880614840079,-13.0147719111182,5.87215",-38.4880614840079,-13.0147719111182,5.87215,BA,Bahia,Localizado na Região Nordeste,2010-08-17,1,NÃO,PRAZD,REGULAR,AVIÃO,EMBRAER,ERJ 190-100 IGW,E190,JATO,BIMOTOR,113.0,2009.0,BRASIL,AVIÃO,REGULAR,FORA DE AERODROMO,FORA DE AERODROMO,POUSO,REGULAR,NENHUM,0,NÃO
27,43157,INCIDENTE,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE,SALVADOR,"-38.4880614840079,-13.0147719111182,5.87215",-38.4880614840079,-13.0147719111182,5.87215,BA,Bahia,Localizado na Região Nordeste,2010-10-06,1,NÃO,PRAZG,REGULAR,AVIÃO,EMBRAER,ERJ 190-100 IGW,E190,JATO,BIMOTOR,112.0,2009.0,BRASIL,AVIÃO,REGULAR,FORA DE AERODROMO,FORA DE AERODROMO,SUBIDA,REGULAR,NENHUM,0,NÃO
28,43470,INCIDENTE,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE,SALVADOR,"-38.4880614840079,-13.0147719111182,5.87215",-38.4880614840079,-13.0147719111182,5.87215,BA,Bahia,Localizado na Região Nordeste,2010-12-16,1,NÃO,PRWJJ,REGULAR,AVIÃO,BOEING COMPANY,737-341,B733,JATO,BIMOTOR,156.0,1990.0,BRASIL,AVIÃO,REGULAR,FORA DE AERODROMO,FORA DE AERODROMO,SUBIDA,REGULAR,NENHUM,0,NÃO
29,43692,INCIDENTE,FALHA DO MOTOR EM VOO,FALHA OU MAU FUNCIONAMENTO DO MOTOR | FALHA DO MOTOR EM VOO,SALVADOR,"-38.4880614840079,-13.0147719111182,5.87215",-38.4880614840079,-13.0147719111182,5.87215,BA,Bahia,Localizado na Região Nordeste,2010-10-25,1,NÃO,PTWYT,TÁXI AÉREO,AVIÃO,MITSUBISHI,MU-2B-36A,MU2,TURBOÉLICE,BIMOTOR,11.0,1978.0,BRASIL,AVIÃO,TÁXI AÉREO,FORA DE AERODROMO,FORA DE AERODROMO,OUTRA FASE,TÁXI AÉREO,NENHUM,0,NÃO
30,43837,INCIDENTE,COM LANÇAMENTO DE CARGA,OUTROS | COM LANÇAMENTO DE CARGA,SALVADOR,"-38.4880614840079,-13.0147719111182,5.87215",-38.4880614840079,-13.0147719111182,5.87215,BA,Bahia,Localizado na Região Nordeste,2011-01-29,1,NÃO,PRAIB,NÃO REGULAR,AVIÃO,BOEING COMPANY,727-227,B722,JATO,TRIMOTOR,5.0,1977.0,BRASIL,AVIÃO,NÃO REGULAR,FORA DE AERODROMO,FORA DE AERODROMO,OPERAÇÃO DE SOLO,REGULAR,LEVE,0,NÃO
31,43914,INCIDENTE,FALHA DO MOTOR EM VOO,FALHA OU MAU FUNCIONAMENTO DO MOTOR | FALHA DO MOTOR EM VOO,SALVADOR,"-38.4880614840079,-13.0147719111182,5.87215",-38.4880614840079,-13.0147719111182,5.87215,BA,Bahia,Localizado na Região Nordeste,2011-02-27,1,NÃO,PRWJL,REGULAR,AVIÃO,BOEING COMPANY,737-36N,B733,JATO,BIMOTOR,156.0,1999.0,BRASIL,AVIÃO,REGULAR,FORA DE AERODROMO,FORA DE AERODROMO,SUBIDA,REGULAR,LEVE,0,NÃO
32,44122,INCIDENTE,COM PARA-BRISAS / JANELA / PORTA,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE | COM PARA-BRISAS / JANELA / PORTA,SALVADOR,"-38.4880614840079,-13.0147719111182,5.87215",-38.4880614840079,-13.0147719111182,5.87215,BA,Bahia,Localizado na Região Nordeste,2011-03-20,1,NÃO,PRWJQ,REGULAR,AVIÃO,BOEING COMPANY,737-3U3,B733,JATO,BIMOTOR,156.0,1998.0,BRASIL,AVIÃO,REGULAR,FORA DE AERODROMO,FORA DE AERODROMO,SUBIDA,REGULAR,NENHUM,0,NÃO
33,44319,INCIDENTE,FALHA DO MOTOR EM VOO,FALHA OU MAU FUNCIONAMENTO DO MOTOR | FALHA DO MOTOR EM VOO,SALVADOR,"-38.4880614840079,-13.0147719111182,5.87215",-38.4880614840079,-13.0147719111182,5.87215,BA,Bahia,Localizado na Região Nordeste,2011-04-02,1,NÃO,CSTOG,REGULAR,AVIÃO,AIRBUS INDUSTRIE,A330-223,A332,JATO,BIMOTOR,0.0,0.0,PORTUGAL,AVIÃO,REGULAR,FORA DE AERODROMO,FORA DE AERODROMO,CRUZEIRO,REGULAR,NENHUM,0,NÃO
34,44527,INCIDENTE,FUMAÇA NA CABINE,FOGO/FUMAÇA (SEM IMPACTO) | FUMAÇA NA CABINE,SALVADOR,"-38.4880614840079,-13.0147719111182,5.87215",-38.4880614840079,-13.0147719111182,5.87215,BA,Bahia,Localizado na Região Nordeste,2010-12-23,1,NÃO,PRMBG,REGULAR,AVIÃO,AIRBUS INDUSTRIE,A320-232,A320,JATO,BIMOTOR,182.0,2001.0,BRASIL,AVIÃO,REGULAR,FORA DE AERODROMO,FORA DE AERODROMO,OUTRA FASE,REGULAR,NENHUM,0,NÃO
35,44647,ACIDENTE,COLISÃO COM AVE,COLISÃO COM AVE,SALVADOR,"-38.4880614840079,-13.0147719111182,5.87215",-38.4880614840079,-13.0147719111182,5.87215,BA,Bahia,Localizado na Região Nordeste,2011-06-18,1,NÃO,PTBKW,OPERADOR DESCONHECIDO,AVIÃO,CESSNA AIRCRAFT,150J,C150,PISTÃO,MONOMOTOR,2.0,1969.0,BRASIL,AVIÃO,INSTRUÇÃO,DEPUTADO LUÍS EDUARDO MAGALHÃES,DEPUTADO LUÍS EDUARDO MAGALHÃES,CIRCUITO DE TRÁFEGO,INSTRUÇÃO,LEVE,0,NÃO
36,44649,INCIDENTE GRAVE,COM COMANDOS DE VOO,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE | COM COMANDOS DE VOO,SALVADOR,"-38.4880614840079,-13.0147719111182,5.87215",-38.4880614840079,-13.0147719111182,5.87215,BA,Bahia,Localizado na Região Nordeste,2011-06-20,1,NÃO,PTBXF,OPERADOR DESCONHECIDO,AVIÃO,CESSNA AIRCRAFT,150E,C150,PISTÃO,MONOMOTOR,2.0,1965.0,BRASIL,AVIÃO,INSTRUÇÃO,FORA DE AERODROMO,FORA DE AERODROMO,MANOBRA,INSTRUÇÃO,NENHUM,0,NÃO
37,45001,INCIDENTE,FALHA DO MOTOR EM VOO,FALHA OU MAU FUNCIONAMENTO DO MOTOR | FALHA DO MOTOR EM VOO,SALVADOR,"-38.4880614840079,-13.0147719111182,5.87215",-38.4880614840079,-13.0147719111182,5.87215,BA,Bahia,Localizado na Região Nordeste,2011-08-23,1,NÃO,PPPJL,REGULAR,AVIÃO,EMBRAER,ERJ 190-100 LR,E190,JATO,BIMOTOR,106.0,2008.0,BRASIL,AVIÃO,REGULAR,FORA DE AERODROMO,FORA DE AERODROMO,DESCIDA,REGULAR,NENHUM,0,NÃO
38,45670,INCIDENTE,OUTROS,OUTROS,SALVADOR,"-38.4880614840079,-13.0147719111182,5.87215",-38.4880614840079,-13.0147719111182,5.87215,BA,Bahia,Localizado na Região Nordeste,2012-03-06,1,NÃO,PRMBQ,REGULAR,AVIÃO,AIRBUS INDUSTRIE,A320-232,A320,JATO,BIMOTOR,184.0,2001.0,BRASIL,AVIÃO,REGULAR,FORA DE AERODROMO,FORA DE AERODROMO,ARREMETIDA NO SOLO,REGULAR,LEVE,0,NÃO
39,45786,INCIDENTE,ESTOURO DE PNEU,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE | ESTOURO DE PNEU,SALVADOR,"-38.4880614840079,-13.0147719111182,5.87215",-38.4880614840079,-13.0147719111182,5.87215,BA,Bahia,Localizado na Região Nordeste,2012-03-14,1,NÃO,PPPTQ,REGULAR,AVIÃO,AEROSPATIALE AND ALENIA,ATR-72-212A,AT72,TURBOÉLICE,BIMOTOR,73.0,2009.0,BRASIL,AVIÃO,REGULAR,FORA DE AERODROMO,FORA DE AERODROMO,POUSO,REGULAR,NENHUM,0,NÃO
40,45800,INCIDENTE GRAVE,COM TREM DE POUSO,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE | COM TREM DE POUSO,SALVADOR,"-38.4880614840079,-13.0147719111182,5.87215",-38.4880614840079,-13.0147719111182,5.87215,BA,Bahia,Localizado na Região Nordeste,2012-04-30,1,NÃO,PRAJR,OPERADOR DESCONHECIDO,AVIÃO,PIPER AIRCRAFT,PA-32R-301,P32R,PISTÃO,MONOMOTOR,7.0,1993.0,BRASIL,AVIÃO,PARTICULAR,FORA DE AERODROMO,FORA DE AERODROMO,POUSO,PRIVADA,LEVE,0,NÃO
41,45895,INCIDENTE,COLISÃO COM OBSTÁCULOS NO SOLO,COLISÃO NO SOLO | COLISÃO COM OBSTÁCULOS NO SOLO,SALVADOR,"-38.4880614840079,-13.0147719111182,5.87215",-38.4880614840079,-13.0147719111182,5.87215,BA,Bahia,Localizado na Região Nordeste,2012-05-17,1,NÃO,PRMAX,REGULAR,AVIÃO,AIRBUS INDUSTRIE,A320-232,A320,JATO,BIMOTOR,184.0,2005.0,BRASIL,AVIÃO,REGULAR,FORA DE AERODROMO,FORA DE AERODROMO,TÁXI,REGULAR,NIVEL DANO DESCONHECIDO,0,NÃO
42,45917,INCIDENTE,OUTROS,OUTROS,SALVADOR,"-38.4880614840079,-13.0147719111182,5.87215",-38.4880614840079,-13.0147719111182,5.87215,BA,Bahia,Localizado na Região Nordeste,2012-06-11,1,NÃO,PPPTT,REGULAR,AVIÃO,AEROSPATIALE AND ALENIA,ATR-72-212A,AT72,TURBOÉLICE,BIMOTOR,73.0,2010.0,BRASIL,AVIÃO,REGULAR,FORA DE AERODROMO,FORA DE AERODROMO,POUSO,REGULAR,LEVE,0,NÃO
